timestamp,complaint_type,borough,status
12/31/2015 10:32:15 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 10:30:42 PM,Noise - Commercial,STATEN ISLAND,Closed
12/31/2015 10:29:33 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 10:28:13 PM,Vending,MANHATTAN,Closed
12/31/2015 10:28:10 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 10:27:16 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 10:26:08 PM,Noise - Commercial,MANHATTAN,Closed
12/31/2015 10:26:03 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 10:25:06 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 10:24:58 PM,Noise - Commercial,MANHATTAN,Closed
12/31/2015 10:21:05 PM,Noise - Commercial,MANHATTAN,Closed
12/31/2015 10:20:40 PM,Illegal Parking,QUEENS,Closed
12/31/2015 10:20:26 PM,Noise - Commercial,QUEENS,Closed
12/31/2015 10:18:33 PM,Noise - Commercial,MANHATTAN,Closed
12/31/2015 10:17:24 PM,Illegal Parking,QUEENS,Closed
12/31/2015 10:17:00 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 10:15:58 PM,Noise - Street/Sidewalk,MANHATTAN,Closed
12/31/2015 10:15:30 PM,Blocked Driveway,BRONX,Closed
12/31/2015 10:14:32 PM,Noise - Commercial,MANHATTAN,Closed
12/31/2015 10:13:35 PM,Noise - Commercial,MANHATTAN,Closed
12/31/2015 10:11:31 PM,Illegal Parking,QUEENS,Closed
12/31/2015 10:10:58 PM,Noise - Commercial,MANHATTAN,Closed
12/31/2015 10:07:16 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 10:06:44 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 10:05:14 PM,Blocked Driveway,BRONX,Closed
12/31/2015 10:03:00 PM,Noise - Street/Sidewalk,BROOKLYN,Closed
12/31/2015 10:02:19 PM,Noise - Street/Sidewalk,MANHATTAN,Closed
12/31/2015 10:01:13 PM,Noise - Commercial,MANHATTAN,Closed
12/31/2015 09:58:17 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 09:55:30 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 09:54:02 PM,Illegal Parking,MANHATTAN,Closed
12/31/2015 09:47:57 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 09:44:43 PM,Noise - House of Worship,QUEENS,Closed
12/31/2015 09:44:24 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 09:43:01 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 09:41:42 PM,Traffic,BROOKLYN,Closed
12/31/2015 09:38:51 PM,Noise - Commercial,QUEENS,Closed
12/31/2015 09:34:42 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 09:34:16 PM,Illegal Parking,STATEN ISLAND,Closed
12/31/2015 09:33:19 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 09:31:44 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 09:30:29 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 09:26:26 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 09:24:12 PM,Blocked Driveway,BRONX,Closed
12/31/2015 09:23:48 PM,Blocked Driveway,MANHATTAN,Closed
12/31/2015 09:22:54 PM,Animal Abuse,QUEENS,Closed
12/31/2015 09:21:18 PM,Blocked Driveway,STATEN ISLAND,Closed
12/31/2015 09:18:10 PM,Vending,MANHATTAN,Closed
12/31/2015 09:13:34 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 09:12:43 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 09:11:12 PM,Illegal Parking,BRONX,Closed
12/31/2015 09:11:02 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 09:10:41 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 09:09:28 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 09:09:00 PM,Blocked Driveway,BRONX,Closed
12/31/2015 09:08:07 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 09:07:59 PM,Derelict Vehicle,BROOKLYN,Closed
12/31/2015 09:04:05 PM,Illegal Parking,BRONX,Closed
12/31/2015 09:01:45 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 09:01:29 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 08:58:32 PM,Illegal Parking,MANHATTAN,Closed
12/31/2015 08:56:49 PM,Noise - Vehicle,BRONX,Closed
12/31/2015 08:55:39 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 08:55:16 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 08:54:07 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 08:52:32 PM,Blocked Driveway,BRONX,Closed
12/31/2015 08:52:27 PM,Blocked Driveway,BRONX,Closed
12/31/2015 08:51:57 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 08:50:38 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 08:50:22 PM,Animal Abuse,BROOKLYN,Closed
12/31/2015 08:49:26 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 08:48:24 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 08:48:23 PM,Blocked Driveway,BRONX,Closed
12/31/2015 08:48:09 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 08:40:13 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 08:35:22 PM,Illegal Parking,QUEENS,Closed
12/31/2015 08:30:53 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 08:28:06 PM,Noise - Vehicle,QUEENS,Closed
12/31/2015 08:25:07 PM,Noise - Street/Sidewalk,BROOKLYN,Closed
12/31/2015 08:23:41 PM,Illegal Parking,QUEENS,Closed
12/31/2015 08:19:38 PM,Illegal Parking,QUEENS,Closed
12/31/2015 08:19:06 PM,Blocked Driveway,BRONX,Closed
12/31/2015 08:16:34 PM,Illegal Parking,QUEENS,Closed
12/31/2015 08:14:59 PM,Illegal Parking,BRONX,Closed
12/31/2015 08:14:49 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 08:11:48 PM,Drinking,BROOKLYN,Closed
12/31/2015 08:07:04 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 08:06:57 PM,Blocked Driveway,BRONX,Closed
12/31/2015 08:03:36 PM,Blocked Driveway,BRONX,Closed
12/31/2015 08:02:03 PM,Blocked Driveway,BRONX,Closed
12/31/2015 08:00:51 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 07:59:08 PM,Blocked Driveway,BRONX,Closed
12/31/2015 07:58:07 PM,Blocked Driveway,BRONX,Closed
12/31/2015 07:57:13 PM,Noise - Street/Sidewalk,MANHATTAN,Closed
12/31/2015 07:54:38 PM,Animal Abuse,BROOKLYN,Closed
12/31/2015 07:54:06 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 07:52:36 PM,Noise - Street/Sidewalk,MANHATTAN,Closed
12/31/2015 07:51:08 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 07:48:47 PM,Noise - Street/Sidewalk,MANHATTAN,Closed
12/31/2015 07:47:18 PM,Blocked Driveway,BRONX,Closed
12/31/2015 07:45:00 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 07:43:16 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 07:41:28 PM,Illegal Parking,BRONX,Closed
12/31/2015 07:39:53 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 07:38:32 PM,Blocked Driveway,BRONX,Closed
12/31/2015 07:37:06 PM,Blocked Driveway,BRONX,Closed
12/31/2015 07:36:46 PM,Illegal Parking,MANHATTAN,Closed
12/31/2015 07:33:50 PM,Noise - Street/Sidewalk,MANHATTAN,Closed
12/31/2015 07:29:11 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 07:29:04 PM,Blocked Driveway,STATEN ISLAND,Closed
12/31/2015 07:28:55 PM,Noise - Commercial,BRONX,Closed
12/31/2015 07:27:11 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 07:25:39 PM,Noise - Street/Sidewalk,MANHATTAN,Closed
12/31/2015 07:24:44 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 07:24:35 PM,Blocked Driveway,BRONX,Closed
12/31/2015 07:24:12 PM,Blocked Driveway,BRONX,Closed
12/31/2015 07:23:05 PM,Noise - Commercial,BRONX,Closed
12/31/2015 07:21:55 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 07:21:37 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 07:20:16 PM,Blocked Driveway,BRONX,Closed
12/31/2015 07:19:49 PM,Illegal Parking,MANHATTAN,Closed
12/31/2015 07:18:03 PM,Illegal Parking,QUEENS,Closed
12/31/2015 07:17:12 PM,Illegal Parking,BRONX,Closed
12/31/2015 07:16:25 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 07:16:07 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 07:14:53 PM,Illegal Parking,BRONX,Closed
12/31/2015 07:12:35 PM,Noise - Vehicle,MANHATTAN,Closed
12/31/2015 07:11:17 PM,Blocked Driveway,BRONX,Closed
12/31/2015 07:10:07 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 07:08:25 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 07:05:09 PM,Blocked Driveway,BRONX,Closed
12/31/2015 07:04:47 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 07:04:29 PM,Illegal Parking,QUEENS,Closed
12/31/2015 06:58:07 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 06:58:04 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 06:57:38 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 06:56:30 PM,Illegal Parking,BRONX,Closed
12/31/2015 06:55:52 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 06:55:26 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 06:54:39 PM,Illegal Parking,QUEENS,Closed
12/31/2015 06:54:20 PM,Blocked Driveway,BRONX,Closed
12/31/2015 06:53:32 PM,Blocked Driveway,BRONX,Closed
12/31/2015 06:52:26 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 06:52:18 PM,Illegal Parking,MANHATTAN,Closed
12/31/2015 06:50:20 PM,Blocked Driveway,BRONX,Closed
12/31/2015 06:50:10 PM,Blocked Driveway,BRONX,Closed
12/31/2015 06:50:09 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 06:48:34 PM,Noise - Commercial,BRONX,Closed
12/31/2015 06:48:04 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 06:40:05 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 06:38:59 PM,Noise - Street/Sidewalk,BROOKLYN,Closed
12/31/2015 06:38:21 PM,Illegal Parking,QUEENS,Closed
12/31/2015 06:37:21 PM,Animal Abuse,BROOKLYN,Closed
12/31/2015 06:36:43 PM,Illegal Parking,QUEENS,Closed
12/31/2015 06:36:05 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 06:32:35 PM,Illegal Parking,MANHATTAN,Closed
12/31/2015 06:32:10 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 06:32:07 PM,Illegal Parking,QUEENS,Closed
12/31/2015 06:30:58 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 06:29:40 PM,Illegal Parking,QUEENS,Closed
12/31/2015 06:29:37 PM,Derelict Vehicle,BROOKLYN,Closed
12/31/2015 06:29:20 PM,Derelict Vehicle,BROOKLYN,Closed
12/31/2015 06:29:07 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 06:28:31 PM,Blocked Driveway,BRONX,Closed
12/31/2015 06:26:16 PM,Noise - Street/Sidewalk,BRONX,Closed
12/31/2015 06:25:44 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 06:24:10 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 06:22:50 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 06:22:08 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 06:19:33 PM,Noise - Street/Sidewalk,BRONX,Closed
12/31/2015 06:16:29 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 06:15:10 PM,Noise - Street/Sidewalk,MANHATTAN,Closed
12/31/2015 06:14:12 PM,Blocked Driveway,BRONX,Closed
12/31/2015 06:12:11 PM,Noise - Street/Sidewalk,BRONX,Closed
12/31/2015 06:11:19 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 06:08:09 PM,Blocked Driveway,BRONX,Closed
12/31/2015 06:07:29 PM,Noise - Street/Sidewalk,MANHATTAN,Closed
12/31/2015 06:03:50 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 06:02:18 PM,Noise - Street/Sidewalk,BRONX,Closed
12/31/2015 06:01:51 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 06:00:51 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 05:58:22 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 05:57:06 PM,Noise - Street/Sidewalk,MANHATTAN,Closed
12/31/2015 05:53:34 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 05:48:26 PM,Illegal Parking,QUEENS,Closed
12/31/2015 05:46:46 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 05:45:09 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 05:42:38 PM,Illegal Parking,QUEENS,Closed
12/31/2015 05:40:16 PM,Illegal Parking,Unspecified,Closed
12/31/2015 05:37:34 PM,Illegal Parking,QUEENS,Closed
12/31/2015 05:35:19 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 05:31:33 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 05:30:22 PM,Illegal Parking,BRONX,Closed
12/31/2015 05:29:30 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 05:28:25 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 05:27:07 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 05:23:20 PM,Illegal Parking,QUEENS,Closed
12/31/2015 05:22:47 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 05:18:14 PM,Blocked Driveway,STATEN ISLAND,Closed
12/31/2015 05:16:35 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 05:13:30 PM,Derelict Vehicle,BROOKLYN,Closed
12/31/2015 05:12:51 PM,Blocked Driveway,BRONX,Closed
12/31/2015 05:09:50 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 05:08:19 PM,Derelict Vehicle,QUEENS,Closed
12/31/2015 05:08:07 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 05:08:01 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 05:06:34 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 05:05:30 PM,Blocked Driveway,Unspecified,Closed
12/31/2015 05:05:00 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 05:04:49 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 05:02:42 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 05:02:07 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 04:59:34 PM,Animal Abuse,QUEENS,Closed
12/31/2015 04:59:33 PM,Illegal Parking,QUEENS,Closed
12/31/2015 04:57:49 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 04:55:31 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 04:50:18 PM,Traffic,QUEENS,Closed
12/31/2015 04:50:02 PM,Derelict Vehicle,QUEENS,Closed
12/31/2015 04:48:37 PM,Bike/Roller/Skate Chronic,STATEN ISLAND,Closed
12/31/2015 04:48:16 PM,Illegal Parking,MANHATTAN,Closed
12/31/2015 04:47:14 PM,Illegal Parking,STATEN ISLAND,Closed
12/31/2015 04:46:07 PM,Noise - Street/Sidewalk,MANHATTAN,Closed
12/31/2015 04:45:04 PM,Noise - Street/Sidewalk,BROOKLYN,Closed
12/31/2015 04:44:36 PM,Derelict Vehicle,BRONX,Closed
12/31/2015 04:44:32 PM,Noise - Vehicle,QUEENS,Closed
12/31/2015 04:41:27 PM,Noise - Street/Sidewalk,MANHATTAN,Closed
12/31/2015 04:34:05 PM,Derelict Vehicle,STATEN ISLAND,Closed
12/31/2015 04:33:27 PM,Animal Abuse,BROOKLYN,Closed
12/31/2015 04:31:55 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 04:29:24 PM,Illegal Parking,QUEENS,Closed
12/31/2015 04:27:31 PM,Derelict Vehicle,BROOKLYN,Closed
12/31/2015 04:26:30 PM,Noise - Street/Sidewalk,MANHATTAN,Closed
12/31/2015 04:25:39 PM,Noise - Commercial,MANHATTAN,Closed
12/31/2015 04:25:38 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 04:21:08 PM,Animal Abuse,BROOKLYN,Closed
12/31/2015 04:19:05 PM,Illegal Parking,BRONX,Closed
12/31/2015 04:17:55 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 04:14:24 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 04:14:04 PM,Illegal Parking,MANHATTAN,Closed
12/31/2015 04:13:48 PM,Traffic,BROOKLYN,Closed
12/31/2015 04:11:21 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 04:09:28 PM,Traffic,BROOKLYN,Closed
12/31/2015 04:09:25 PM,Traffic,BROOKLYN,Closed
12/31/2015 04:08:51 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 04:08:50 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 04:08:07 PM,Illegal Parking,QUEENS,Closed
12/31/2015 04:08:01 PM,Vending,MANHATTAN,Closed
12/31/2015 04:07:01 PM,Illegal Parking,QUEENS,Closed
12/31/2015 04:06:21 PM,Illegal Parking,QUEENS,Closed
12/31/2015 04:02:08 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 04:01:55 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 03:59:17 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 03:55:57 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 03:55:32 PM,Noise - Street/Sidewalk,MANHATTAN,Closed
12/31/2015 03:52:47 PM,Blocked Driveway,BRONX,Closed
12/31/2015 03:51:26 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 03:49:59 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 03:48:48 PM,Noise - Vehicle,MANHATTAN,Closed
12/31/2015 03:48:11 PM,Noise - Street/Sidewalk,BRONX,Closed
12/31/2015 03:47:58 PM,Noise - Vehicle,MANHATTAN,Closed
12/31/2015 03:47:52 PM,Noise - Vehicle,MANHATTAN,Closed
12/31/2015 03:45:18 PM,Illegal Parking,QUEENS,Closed
12/31/2015 03:45:13 PM,Illegal Parking,QUEENS,Closed
12/31/2015 03:43:52 PM,Illegal Parking,STATEN ISLAND,Closed
12/31/2015 03:43:47 PM,Animal Abuse,BROOKLYN,Closed
12/31/2015 03:42:00 PM,Illegal Parking,QUEENS,Closed
12/31/2015 03:40:45 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 03:37:50 PM,Illegal Parking,BRONX,Closed
12/31/2015 03:37:22 PM,Derelict Vehicle,BROOKLYN,Closed
12/31/2015 03:36:26 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 03:35:21 PM,Noise - Street/Sidewalk,MANHATTAN,Closed
12/31/2015 03:34:35 PM,Illegal Parking,MANHATTAN,Closed
12/31/2015 03:33:10 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 03:32:52 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 03:32:10 PM,Derelict Vehicle,QUEENS,Closed
12/31/2015 03:30:55 PM,Noise - Commercial,MANHATTAN,Closed
12/31/2015 03:28:45 PM,Derelict Vehicle,QUEENS,Closed
12/31/2015 03:28:03 PM,Illegal Parking,BRONX,Closed
12/31/2015 03:26:41 PM,Animal Abuse,BROOKLYN,Closed
12/31/2015 03:26:19 PM,Panhandling,MANHATTAN,Closed
12/31/2015 03:24:22 PM,Vending,BROOKLYN,Closed
12/31/2015 03:20:33 PM,Illegal Parking,QUEENS,Closed
12/31/2015 03:18:12 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 03:14:47 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 03:14:37 PM,Illegal Parking,BRONX,Closed
12/31/2015 03:12:31 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 03:12:05 PM,Illegal Parking,BRONX,Closed
12/31/2015 03:09:34 PM,Animal Abuse,MANHATTAN,Closed
12/31/2015 03:02:09 PM,Blocked Driveway,BRONX,Closed
12/31/2015 02:56:57 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 02:56:27 PM,Illegal Parking,QUEENS,Closed
12/31/2015 02:55:55 PM,Illegal Parking,QUEENS,Closed
12/31/2015 02:55:36 PM,Blocked Driveway,QUEENS,Closed
